AAPL,ABBV,AMD,AMZN,AVGO,AXP,BAC,BKR.B,CAT,COST,CSCO,CVX,GE,GOOGL,GS,HD,IBM,JNJ,JPM,KO,LLY,MA,META,MS,MSFT,MU,NFLX,NVDA,ORCL,PG,PLTR,QQQ,SPY,TSLA,UNH,V,WFC,WMT,XOM
168.4965362548828,168.74595642089844,183.33999633789062,180.97000122070312,132.3230743408203,222.04193115234375,35.81012725830078,,353.4792175292969,713.404052734375,47.1031608581543,145.9160919189453,138.04588317871094,154.21542358398438,396.3731994628906,350.2475280761719,179.1991729736328,148.73167419433594,189.6155548095703,57.25801467895508,750.0867309570312,472.1549377441406,488.0414123535156,88.15878295898438,418.15191650390625,123.4342041015625,61.430999755859375,90.3120346069336,122.46623992919922,152.5275421142578,22.860000610351562,440.1164855957031,509.7541198730469,175.22000122070312,468.7732849121094,274.1673278808594,55.04811096191406,58.80653762817383,109.4107894897461
167.31727600097656,168.68064880371094,178.6999969482422,180.69000244140625,131.19610595703125,220.01280212402344,35.60015869140625,,354.53851318359375,703.5718994140625,46.463069915771484,146.55816650390625,134.61117553710938,153.29302978515625,393.15240478515625,345.4606018066406,178.30238342285156,148.68453979492188,189.539306640625,56.75790786743164,753.4497680664062,473.1715087890625,494.0209045410156,87.38587951660156,415.0692138671875,121.8949966430664,61.42100143432617,89.40155029296875,121.35360717773438,152.51806640625,22.719999313354492,436.3182067871094,506.5130310058594,166.6300048828125,438.56195068359375,274.3249816894531,54.79966735839844,57.98324203491211,111.55242919921875
168.11996459960938,165.5439453125,180.77000427246094,182.41000366210938,133.59213256835938,221.08587646484375,35.73377227783203,,365.1893615722656,698.0228881835938,46.25429153442383,147.1635284423828,143.63653564453125,153.65008544921875,396.8429260253906,342.5103454589844,180.20924377441406,145.4135284423828,189.0055694580078,56.45594787597656,765.3142700195312,471.187744140625,503.3277587890625,87.65924072265625,414.0942077636719,127.11833953857422,63.007999420166016,88.91382598876953,123.2079849243164,148.3197021484375,22.700000762939453,437.2974548339844,507.0694274902344,168.3800048828125,440.0935974121094,272.8668518066406,54.589454650878906,58.24787139892578,111.57113647460938
167.29745483398438,156.74070739746094,165.8300018310547,180.0,129.11265563964844,214.88180541992188,35.23747634887695,,359.35858154296875,697.2218017578125,45.65641784667969,147.39283752441406,145.3824462890625,149.29605102539062,389.41412353515625,340.3976135253906,177.4150390625,143.7544708251953,187.56752014160156,55.955833435058594,757.5131225585938,463.6375732421875,507.4797058105469,86.98058319091797,411.56304931640625,123.22563934326172,61.7140007019043,85.8565444946289,121.20720672607422,147.65476989746094,22.479999542236328,430.6108703613281,500.88006591796875,171.11000061035156,435.9198913574219,269.9505920410156,54.15946578979492,58.31647872924805,111.96392059326172
168.05059814453125,158.70114135742188,170.4199981689453,185.07000732421875,131.26173400878906,217.69029235839844,35.41881561279297,,368.6003112792969,705.9656982421875,46.073974609375,148.2275390625,154.1710968017578,151.24990844726562,391.1586608886719,340.57843017578125,178.54782104492188,143.65077209472656,189.2931671142578,56.15399932861328,773.4212646484375,470.9212341308594,523.7891845703125,87.15966796875,419.0875549316406,122.71920013427734,63.61800003051758,87.95836639404297,121.9001693725586,148.27218627929688,22.959999084472656,435.68511962890625,506.1127624511719,164.89999389648438,436.2644958496094,273.0442199707031,54.84744644165039,58.659515380859375,113.50704193115234
166.93077087402344,158.51443481445312,169.89999389648438,185.19000244140625,130.93540954589844,219.3048858642578,35.791046142578125,,362.934814453125,704.0764770507812,45.779788970947266,147.92483520507812,154.3881072998047,153.58067321777344,393.5263366699219,344.5564880371094,179.18975830078125,142.8966522216797,190.28060913085938,55.92753219604492,766.5963745117188,473.253662109375,515.7535400390625,87.85716247558594,418.1716003417969,122.09358215332031,62.840999603271484,87.08384704589844,121.36337280273438,148.21519470214844,23.0,435.8136901855469,506.3958435058594,172.97999572753906,436.5133972167969,273.655029296875,55.2201042175293,58.590904235839844,112.74015045166016
168.13978576660156,158.83180236816406,170.77999877929688,185.6699981689453,130.73745727539062,215.12643432617188,36.01055908203125,,361.4090881347656,710.7828369140625,47.45952224731445,148.59442138671875,152.38575744628906,155.31634521484375,393.68927001953125,343.9569396972656,178.70831298828125,143.55650329589844,189.00555419921875,56.35215759277344,746.822265625,466.6418762207031,513.4193725585938,88.67723083496094,419.8360290527344,121.77581024169922,61.81999969482422,85.30584716796875,120.65841674804688,148.8041534423828,22.809999465942383,437.42596435546875,506.9815673828125,176.8800048828125,440.074462890625,272.6304016113281,55.019447326660156,58.60071563720703,113.32935333251953
166.266845703125,157.7956085205078,167.13999938964844,185.9499969482422,129.5898895263672,212.9833984375,34.97977828979492,,361.5742492675781,714.7294921875,46.7003173828125,149.20899963378906,154.4768829345703,154.86009216308594,384.151611328125,333.62164306640625,175.6214141845703,141.58636474609375,187.39495849609375,55.597267150878906,751.4970703125,463.68682861328125,516.32958984375,86.38675689697266,416.8617248535156,121.34881591796875,61.858001708984375,86.98990631103516,119.20928955078125,149.3550567626953,22.420000076293945,433.6079406738281,501.90509033203125,171.75999450683594,430.8176574707031,270.42352294921875,54.407901763916016,59.41420364379883,114.28326416015625
173.4613800048828,156.38597106933594,170.5,189.0500030517578,135.47862243652344,213.5216522216797,34.69344711303711,,361.4868469238281,724.3932495117188,47.003997802734375,148.49354553222656,155.53228759765625,158.10330200195312,381.007568359375,330.5857849121094,175.4892578125,140.25723266601562,187.35659790039062,55.71993637084961,749.1400146484375,462.83685302734375,519.6371459960938,81.85297393798828,421.46112060546875,126.621826171875,62.87799835205078,90.56488037109375,120.6681900024414,148.02523803710938,22.84000015258789,440.5318908691406,505.6929931640625,174.60000610351562,422.8436279296875,271.6057434082031,54.16901779174805,58.89474868774414,113.89982604980469
174.95773315429688,152.90904235839844,163.27999877929688,186.1300048828125,131.7164306640625,213.5216522216797,34.158973693847656,,355.3159484863281,723.3645629882812,46.01704406738281,145.8060302734375,152.79515075683594,156.43702697753906,373.3487243652344,326.3031921386719,172.06256103515625,139.06007385253906,175.23875427246094,54.99335861206055,741.2994384765625,459.94110107421875,508.45306396484375,81.24031829833984,415.5222473144531,121.66657257080078,62.28300094604492,88.13626098632812,118.58264923095703,147.5408172607422,22.670000076293945,433.5090026855469,498.7128601074219,171.0500030517578,420.4313049316406,271.881591796875,53.95880889892578,58.943748474121094,112.57183074951172
